"Name","LastWriteTime","DateOnly","TimeOnly"
"06160105.JPG","16/06/2022 1:34:36 am","16/06/2022","15:34:36"
"06160105(1).JPG","16/06/2022 1:34:36 am","16/06/2022","15:34:36"
"06180118.JPG","17/06/2022 9:47:46 pm","17/06/2022","11:47:46"
"06180128.JPG","17/06/2022 9:49:24 pm","17/06/2022","11:49:24"
"06180130.JPG","17/06/2022 10:04:18 pm","17/06/2022","12:04:18"
"06210144.JPG","21/06/2022 12:19:54 am","21/06/2022","14:19:54"
"06210144(1).JPG","21/06/2022 12:19:54 am","21/06/2022","14:19:54"
"06210148.JPG","21/06/2022 12:31:52 am","21/06/2022","14:31:52"
"06210167.JPG","21/06/2022 12:45:20 am","21/06/2022","14:45:20"
"06210167(1).JPG","21/06/2022 12:45:20 am","21/06/2022","14:45:20"
"06210207.JPG","21/06/2022 12:51:00 am","21/06/2022","14:51:00"
"06210207(1).JPG","21/06/2022 12:51:00 am","21/06/2022","14:51:00"
"06210208.JPG","21/06/2022 12:51:02 am","21/06/2022","14:51:02"
"06210213.JPG","21/06/2022 12:51:20 am","21/06/2022","14:51:20"
"06210214.JPG","21/06/2022 12:51:22 am","21/06/2022","14:51:22"
"06210221.JPG","21/06/2022 12:51:54 am","21/06/2022","14:51:54"
"06210221(1).JPG","21/06/2022 12:51:54 am","21/06/2022","14:51:54"
"06220262.JPG","22/06/2022 12:02:26 am","22/06/2022","14:02:26"
"06270283.JPG","26/06/2022 8:27:08 pm","26/06/2022","10:27:08"
"06270284.JPG","26/06/2022 8:27:10 pm","26/06/2022","10:27:10"
"06270296.JPG","26/06/2022 9:37:52 pm","26/06/2022","11:37:52"
"06270297.JPG","26/06/2022 9:37:54 pm","26/06/2022","11:37:54"
"06270298.JPG","26/06/2022 9:37:58 pm","26/06/2022","11:37:58"
"06280307.JPG","27/06/2022 8:01:58 pm","27/06/2022","10:01:58"
"06280307(1).JPG","27/06/2022 8:01:58 pm","27/06/2022","10:01:58"
"06280317.JPG","27/06/2022 8:02:26 pm","27/06/2022","10:02:26"
"06280317(1).JPG","27/06/2022 8:02:26 pm","27/06/2022","10:02:26"
"06280338.JPG","27/06/2022 8:03:18 pm","27/06/2022","10:03:18"
"06290425.JPG","29/06/2022 2:44:32 am","29/06/2022","16:44:32"
"06290429.JPG","29/06/2022 2:51:36 am","29/06/2022","16:51:36"
"06300443.JPG","29/06/2022 5:29:30 pm","29/06/2022","07:29:30"
"06300490.JPG","29/06/2022 6:55:42 pm","29/06/2022","08:55:42"
"06300491.JPG","29/06/2022 6:55:46 pm","29/06/2022","08:55:46"
"06300492.JPG","29/06/2022 6:55:48 pm","29/06/2022","08:55:48"
"06300525.JPG","29/06/2022 6:57:36 pm","29/06/2022","08:57:36"
"06300567.JPG","29/06/2022 9:04:08 pm","29/06/2022","11:04:08"
"06300591.JPG","30/06/2022 3:47:36 am","30/06/2022","17:47:36"
"06300592.JPG","30/06/2022 3:47:38 am","30/06/2022","17:47:38"
"07010595.JPG","30/06/2022 7:21:40 pm","30/06/2022","09:21:40"
"07010618.JPG","30/06/2022 7:23:16 pm","30/06/2022","09:23:16"
"07040727.JPG","3/07/2022 1:57:22 pm","3/07/2022","03:57:22"
"07040728.JPG","3/07/2022 1:57:26 pm","3/07/2022","03:57:26"
"07040729.JPG","3/07/2022 1:57:28 pm","3/07/2022","03:57:28"
"07040730.JPG","3/07/2022 1:57:30 pm","3/07/2022","03:57:30"
"07040731.JPG","3/07/2022 1:57:32 pm","3/07/2022","03:57:32"
"07040738.JPG","3/07/2022 6:13:12 pm","3/07/2022","08:13:12"
"07040744.JPG","3/07/2022 6:14:30 pm","3/07/2022","08:14:30"
"07070825.JPG","6/07/2022 11:19:42 pm","6/07/2022","13:19:42"
"07070913.JPG","6/07/2022 11:24:08 pm","6/07/2022","13:24:08"
"07070985.JPG","7/07/2022 4:58:00 am","7/07/2022","18:58:00"
"07070986.JPG","7/07/2022 4:59:02 am","7/07/2022","18:59:02"
"07070987.JPG","7/07/2022 4:59:08 am","7/07/2022","18:59:08"
"07070988.JPG","7/07/2022 4:59:10 am","7/07/2022","18:59:10"
"07070989.JPG","7/07/2022 4:59:14 am","7/07/2022","18:59:14"
"07070990.JPG","7/07/2022 4:59:20 am","7/07/2022","18:59:20"
"07070991.JPG","7/07/2022 4:59:26 am","7/07/2022","18:59:26"
"07070992.JPG","7/07/2022 4:59:36 am","7/07/2022","18:59:36"
"07110035.JPG","11/07/2022 2:32:10 am","11/07/2022","16:32:10"
"07110039.JPG","11/07/2022 2:32:22 am","11/07/2022","16:32:22"
